    Time;Total Potential;  Total Kinetic;   Total Energy;      Total Momentum;
  0.0005;       -27.2837;        50.0402;        22.7565;       [1.14349e-20, -99.2, 0];
 10.0005;       -31.3943;        54.1508;        22.7565;       [1.45717e-15, -99.2, 0];
  20.001;       -38.8256;        61.5821;        22.7565;       [4.20219e-14, -99.2, 0];
 30.0015;       -56.6377;        79.3941;        22.7564;       [1.71974e-13, -99.2, 0];
 40.0015;        -243.97;        266.804;        22.8343;       [6.39488e-14, -99.2, 0];
 50.0015;       -75.4638;        100.327;        24.8636;        [2.1636e-12, -99.2, 0];
 60.0015;       -49.1437;        74.0072;        24.8635;       [2.06768e-12, -99.2, 0];
 70.0016;        -46.328;        71.1922;        24.8642;       [1.97353e-12, -99.2, 0];
 80.0016;       -32.2567;         57.121;        24.8643;       [2.89102e-12, -99.2, 0];
 90.0016;       -29.1884;        54.0528;        24.8643;       [2.18225e-12, -99.2, 0];
 100.002;       -33.8578;        58.7221;        24.8643;       [1.76481e-12, -99.2, 0];
 110.002;       -28.3869;        53.2519;         24.865;      [-5.06262e-14, -99.2, 0];
