    Time;Total Potential;  Total Kinetic;   Total Energy;      Total Momentum;
  0.0005;       -5184.37;        2222.55;       -2961.82;               [4.33681e-19, 49, 0];
 10.0005;       -5196.14;        2234.33;       -2961.81;              [-4.79616e-13, 49, 0];
  20.001;       -5233.31;        2271.51;        -2961.8;              [-2.55795e-13, 49, 0];
 30.0015;        -5302.8;        2341.01;       -2961.79;               [2.84217e-14, 49, 0];
 40.0015;       -5412.74;        2450.98;       -2961.77;               [1.46834e-11, 49, 0];
 50.0015;       -5499.55;        2537.81;       -2961.73;               [7.34701e-12, 49, 0];
 60.0015;       -5543.35;        2581.64;       -2961.71;               [2.38316e-11, 49, 0];
 70.0015;          -5632;        2670.31;       -2961.69;               [3.69891e-11, 49, 0];
 80.0015;       -5761.03;        2799.37;       -2961.67;               [6.29115e-11, 49, 0];
 90.0015;        -5919.2;        2957.56;       -2961.64;               [7.46709e-11, 49, 0];
 100.002;        -6096.6;        3134.99;       -2961.61;               [7.69376e-11, 49, 0];
 110.002;       -6276.51;        3314.94;       -2961.57;               [7.82734e-11, 49, 0];
 120.002;       -6441.37;        3479.83;       -2961.54;               [9.03526e-11, 49, 0];
 130.002;        -6590.5;        3629.01;        -2961.5;               [7.21823e-11, 49, 0];
 140.003;       -6727.65;         3766.2;       -2961.46;               [7.38254e-11, 49, 0];
 150.003;       -6836.72;         3875.3;       -2961.42;               [6.88871e-11, 49, 0];
 160.003;       -6865.42;        3904.04;       -2961.39;                [7.0564e-11, 49, 0];
 170.004;       -6824.18;        3862.81;       -2961.36;               [6.88516e-11, 49, 0];
 180.004;       -6748.85;         3787.5;       -2961.35;               [7.16724e-11, 49, 0];
 190.005;       -6647.25;        3685.91;       -2961.34;               [6.06288e-11, 49, 0];
 200.005;       -6537.11;        3575.77;       -2961.34;               [8.16673e-11, 49, 0];
 210.006;       -6704.19;        3742.91;       -2961.28;               [8.55316e-11, 49, 0];
 220.006;       -6230.75;        3269.76;       -2960.99;                [7.9126e-11, 49, 0];
 230.007;       -6003.54;        3042.54;          -2961;               [6.35012e-11, 49, 0];
 240.007;       -5823.81;        2862.81;          -2961;               [7.77627e-11, 49, 0];
 250.008;        -5667.5;         2706.5;       -2961.01;               [6.22435e-11, 49, 0];
 260.008;       -5535.03;        2574.02;       -2961.01;               [5.69855e-11, 49, 0];
 270.009;       -5432.25;        2471.24;       -2961.01;               [4.29381e-11, 49, 0];
 280.009;       -5393.57;        2432.56;       -2961.01;               [2.43574e-11, 49, 0];
 290.009;       -5640.77;        2680.38;       -2960.39;               [1.51488e-11, 49, 0];
  300.01;       -5220.31;        2259.81;        -2960.5;               [1.55538e-11, 49, 0];
  310.01;       -5144.95;        2184.46;       -2960.49;               [2.78533e-12, 49, 0];
 320.011;          -5113;        2152.51;       -2960.49;               [3.26139e-12, 49, 0];
 330.011;       -5109.28;        2148.79;       -2960.48;               [3.13327e-12, 49, 0];
 340.012;       -5132.67;         2172.2;       -2960.48;               [5.39835e-12, 49, 0];
 350.012;        -5190.6;        2230.14;       -2960.47;               [4.51195e-12, 49, 0];
 360.013;       -5336.44;        2375.99;       -2960.45;               [2.47269e-12, 49, 0];
 370.013;       -5528.09;        2567.83;       -2960.26;               [2.78533e-12, 49, 0];
 380.014;       -5409.81;        2449.56;       -2960.25;              [-2.40874e-12, 49, 0];
 390.014;       -5471.51;        2511.27;       -2960.24;              [-1.27187e-11, 49, 0];
 400.015;          -5590;        2629.78;       -2960.22;              [-3.34488e-12, 49, 0];
 410.015;       -5759.21;        2799.01;        -2960.2;              [-2.51514e-11, 49, 0];
 420.016;       -6037.45;        3077.29;       -2960.16;              [-1.17097e-11, 49, 0];
 430.016;        -6242.8;         3282.8;          -2960;               [9.19442e-12, 49, 0];
 440.017;       -6271.13;        3311.16;       -2959.97;               [1.28537e-11, 49, 0];
 450.017;       -6405.55;        3445.61;       -2959.93;              [-2.82796e-12, 49, 0];
 460.018;       -6554.31;        3594.41;        -2959.9;                [4.7109e-12, 49, 0];
 470.018;        -6689.9;        3730.04;       -2959.86;               [1.70282e-11, 49, 0];
 480.019;        -6797.1;        3837.28;       -2959.83;               [2.68923e-11, 49, 0];
 490.019;       -6875.99;         3916.2;        -2959.8;               [2.93916e-11, 49, 0];
  500.02;       -7048.15;         4088.4;       -2959.76;                [3.1406e-11, 49, 0];
  510.02;       -6899.21;        3939.91;       -2959.29;               [3.10223e-11, 49, 0];
 520.021;       -6668.79;         3709.5;       -2959.29;               [3.83338e-11, 49, 0];
 530.021;       -6497.48;        3538.18;       -2959.29;               [5.77245e-11, 49, 0];
 540.022;       -6331.03;        3371.73;        -2959.3;                [5.8396e-11, 49, 0];
 550.022;       -6184.05;        3224.75;        -2959.3;               [3.75664e-11, 49, 0];
 560.023;       -6111.77;        3152.48;       -2959.29;               [5.74403e-11, 49, 0];
 570.023;       -5998.29;        3039.09;        -2959.2;               [3.64579e-11, 49, 0];
 580.024;       -5712.14;        2752.93;        -2959.2;               [2.79847e-11, 49, 0];
 590.024;       -5532.31;        2573.11;        -2959.2;               [2.74394e-11, 49, 0];
 600.025;       -5402.04;        2442.83;        -2959.2;               [2.40323e-11, 49, 0];
 610.025;       -5311.61;        2352.41;        -2959.2;               [1.44027e-11, 49, 0];
 620.026;       -5278.07;        2318.87;        -2959.2;               [2.19416e-11, 49, 0];
 630.026;       -5774.01;        2815.25;       -2958.76;               [2.91465e-11, 49, 0];
 640.027;       -5202.81;        2244.44;       -2958.37;               [2.12808e-11, 49, 0];
 650.027;       -5119.87;         2161.5;       -2958.37;               [2.27551e-11, 49, 0];
 660.028;       -5099.78;        2141.42;       -2958.36;               [2.28528e-11, 49, 0];
 670.028;       -5108.42;        2150.07;       -2958.36;               [2.21654e-11, 49, 0];
 680.029;       -5139.88;        2181.53;       -2958.35;               [1.80087e-11, 49, 0];
 690.029;       -5193.15;        2234.81;       -2958.34;               [2.23732e-11, 49, 0];
  700.03;       -5269.17;        2310.84;       -2958.33;               [2.14806e-11, 49, 0];
  710.03;       -5371.67;        2413.36;       -2958.32;               [2.26095e-11, 49, 0];
 720.031;       -5517.53;        2559.23;        -2958.3;               [1.10916e-11, 49, 0];
 730.031;       -5951.91;         2993.7;       -2958.21;               [8.06466e-12, 49, 0];
 740.032;       -5842.54;        2885.11;       -2957.43;               [5.54934e-12, 49, 0];
 750.032;        -5928.3;        2970.89;        -2957.4;               [1.10028e-11, 49, 0];
 760.033;        -6090.8;        3133.42;       -2957.37;               [2.81553e-12, 49, 0];
 770.033;       -6288.19;        3330.84;       -2957.34;               [8.25295e-12, 49, 0];
 780.034;       -6537.68;        3580.38;        -2957.3;              [-1.19158e-11, 49, 0];
 790.034;       -6878.57;        3921.41;       -2957.15;              [-1.22355e-11, 49, 0];
 800.035;       -6812.22;        3855.13;       -2957.09;               [9.52127e-13, 49, 0];
 810.035;       -6835.26;         3878.2;       -2957.06;              [-5.11591e-13, 49, 0];
 820.036;       -6846.09;        3889.06;       -2957.03;              [-1.79767e-12, 49, 0];
 830.036;       -6814.13;        3857.12;       -2957.01;               [1.81544e-12, 49, 0];
 840.037;       -6737.22;        3780.21;          -2957;              [-1.58096e-12, 49, 0];
 850.037;       -6628.52;        3671.52;          -2957;               [-7.4607e-12, 49, 0];
 860.038;        -6532.2;         3575.2;          -2957;              [-1.70814e-11, 49, 0];
 870.038;       -6903.35;        3947.18;       -2956.16;              [-2.13447e-11, 49, 0];
 880.039;       -6162.87;        3206.45;       -2956.43;              [-1.50193e-11, 49, 0];
 890.039;       -5939.43;           2983;       -2956.43;               [6.32383e-13, 49, 0];
  900.04;       -5766.52;        2810.08;       -2956.43;              [-1.77209e-11, 49, 0];
  910.04;       -5628.23;        2671.79;       -2956.44;              [-4.52616e-12, 49, 0];
 920.041;       -5538.96;        2582.52;       -2956.44;              [-2.13802e-11, 49, 0];
